,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Coyhaique,-45.5752,-72.0662,7.34,93,75,1.03,CL,1662874424
1,Punta Arenas,-53.15,-70.9167,4.06,81,0,3.6,CL,1662874425
2,Northam,51.0333,-4.2167,15.9,88,97,3.72,GB,1662874425
3,Nome,64.5011,-165.4064,8.04,76,75,4.12,US,1662874426
4,Fuerte Olimpo,-21.0415,-57.8738,16.16,48,7,2.25,PY,1662874427
5,Whithorn,18.2604,-78.0378,25.59,89,9,1.44,JM,1662874428
6,Kalavai,12.7703,79.42,32.37,49,100,6.24,IN,1662874429
7,Sharjah city,25.3573,55.4033,35.16,36,0,4.63,AE,1662874429
8,Ushuaia,-54.8,-68.3,2.81,75,20,1.03,AR,1662874430
9,Bluff,-46.6,168.3333,12.67,75,3,3.98,NZ,1662874431
10,Usinsk,65.9939,57.5281,8.45,84,100,6.35,RU,1662874432
11,Vaini,-21.2,-175.2,26.09,83,20,3.6,TO,1662874432
12,Rikitea,-23.1203,-134.9692,22.83,71,16,5.91,PF,1662874433
13,Wanning,18.8003,110.3967,30.21,67,14,3.47,CN,1662874433
14,Hithadhoo,-0.6,73.0833,27.76,70,79,6.27,MV,1662874434
15,Avarua,-21.2078,-159.775,24.03,83,75,4.12,CK,1662874463
16,Palmer,42.1584,-72.3287,20.84,84,100,1.54,US,1662874285
17,Faanui,-16.4833,-151.75,25.43,75,7,7.76,PF,1662874464
18,Nikolskoye,59.7035,30.7861,8.82,65,6,2.04,RU,1662874466
19,Cabra,37.4725,-4.4421,21.65,44,94,1.16,ES,1662874467
20,Gainesville,29.6516,-82.3248,23.37,87,0,2.57,US,1662874228
21,Muros,42.7762,-9.0603,15.05,95,85,2.63,ES,1662874468
22,Puerto Ayora,-0.7393,-90.3518,19.19,83,54,1.34,EC,1662874468
23,Fare,-16.7,-151.0167,25.99,71,16,8.76,PF,1662874469
24,Iqaluit,63.7506,-68.5145,5.85,93,100,3.6,CA,1662874361
25,Balsas,-7.5325,-46.0356,24.55,37,69,1.73,BR,1662874470
26,Polunochnoye,60.8697,60.4153,8.22,68,94,1.56,RU,1662874470
27,George Town,5.4112,100.3354,28.83,73,40,2.24,MY,1662874471
28,Dhidhdhoo,6.8833,73.1,26.99,81,94,7.11,MV,1662874472
29,Port Alfred,-33.5906,26.891,14.54,87,65,1.79,ZA,1662874472
30,Mataura,-46.1927,168.8643,12.49,67,18,1.06,NZ,1662874473
31,Thompson,55.7435,-97.8558,11.09,71,40,3.09,CA,1662874474
32,Jamestown,42.097,-79.2353,19.77,74,75,1.54,US,1662874474
33,Dawson Creek,55.7666,-120.2362,14.8,44,0,2.57,CA,1662874475
34,Butaritari,3.0707,172.7902,27.71,70,15,6.41,KI,1662874476
35,Qaanaaq,77.484,-69.3632,2.89,99,100,3.8,GL,1662874477
36,Zhangaözen,43.3,52.8,16.06,39,0,3.98,KZ,1662874478
37,San Quintín,30.4833,-115.95,23.66,80,16,1.82,MX,1662874478
38,Kyra,49.5776,111.9753,14.96,67,99,0.96,RU,1662874480
39,Busselton,-33.65,115.3333,16.88,66,47,3.08,AU,1662874229
40,Kapaa,22.0752,-159.319,27.99,82,40,4.63,US,1662874482
41,Batagay,67.6333,134.6333,8.21,51,77,3.93,RU,1662874483
42,Lebu,-37.6167,-73.65,8.27,92,9,4.5,CL,1662874484
43,Provideniya,64.3833,-173.3,7.01,69,96,5.32,RU,1662874485
44,Kiunga,-6.1219,141.2906,28.92,79,99,0.9,PG,1662874486
45,Mount Isa,-20.7333,139.5,27.87,21,100,1.54,AU,1662874487
46,Duku,11.2361,4.9073,21.27,97,89,0.76,NG,1662874488
47,Albany,42.6001,-73.9662,19.7,87,100,1.09,US,1662874488
48,Tasiilaq,65.6145,-37.6368,4.09,74,87,2.28,GL,1662874489
49,Mar del Plata,-38.0023,-57.5575,7.15,86,0,2.57,AR,1662874490
